trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
101, ου αλεξανδρε ουδις ετων,0.6039033575034193,21.5,10.0,20.0,100.0,0.6,0.01,1.0,0.01,20.0,,,,,,,,,,,
102, εν αλεξανδρε ουδις της,0.7161511575155984,23.3,10.0,100.0,1000.0,0.6,0.1,1.0,0.01,20.0,,,,,,,,,,,
103, θαυματουργου αλεξανδρε ουδις κυριε,0.6510222139747973,54.1,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
104, εν αλεξανδρε ουδις οι,0.6074876161534518,55.5,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
105, τη αλεξανδρε ουδις βο,0.6108497689738164,52.3,10.0,20.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
106, ετων αλεξανδρε ουδις ου,0.6254533617796791,56.2,10.0,20.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
107, λογους αλεξανδρε ουδις παντων,0.6068257608449398,52.7,10.0,20.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
108, μηνι αλεξανδρε ουδις μηνος,0.7575167074661315,53.0,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
109, ετους αλεξανδρε ουδις εν,0.7895132612067818,53.9,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
110, των αλεξανδρε ουδις εις,0.7774873076587051,53.2,10.0,200.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
111, ος αλεξανδρε ουδις των,0.7809397114858327,53.6,10.0,200.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
112, ουδις αλεξανδρε ουδις ουδις,0.81447708954212,57.3,10.0,200.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
103,,,,,,,,,,,,θαυματουργου αλεξανδρε ουδις κυριε,0.6510222139747973,54.1,20.0,1000.0,0.6,0.0,1.0,10.0,0.01,50.0
104,,,,,,,,,,,,εν αλεξανδρε ουδις οι,0.6074876161534518,55.5,20.0,1000.0,0.6,0.01,1.0,10.0,0.01,50.0
105,,,,,,,,,,,,τη αλεξανδρε ουδις βο,0.6108497689738164,52.3,20.0,1000.0,0.6,0.1,1.0,10.0,0.01,50.0
106,,,,,,,,,,,,ετων αλεξανδρε ουδις ου,0.6254533617796791,56.2,20.0,1000.0,0.9,0.01,1.0,10.0,0.01,50.0
107,,,,,,,,,,,,λογους αλεξανδρε ουδις παντων,0.6068257608449398,52.7,20.0,1000.0,0.1,0.01,1.0,10.0,0.01,50.0
108,,,,,,,,,,,,μηνι αλεξανδρε ουδις μηνος,0.7575167074661315,53.0,200.0,1000.0,0.6,0.0,1.0,10.0,0.01,50.0
109,,,,,,,,,,,,ετους αλεξανδρε ουδις εν,0.7895132612067818,53.9,200.0,1000.0,0.6,0.01,1.0,10.0,0.01,50.0
110,,,,,,,,,,,,των αλεξανδρε ουδις εις,0.7774873076587051,53.2,200.0,1000.0,0.6,0.1,1.0,10.0,0.01,50.0
111,,,,,,,,,,,,ος αλεξανδρε ουδις των,0.7809397114858327,53.6,200.0,1000.0,0.9,0.01,1.0,10.0,0.01,50.0
112,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.81447708954212,57.3,200.0,1000.0,0.1,0.01,1.0,10.0,0.01,50.0
113, ουδις αλεξανδρε ουδις ουδις,0.9042481342432164,23.84,25.0,500.0,250.0,0.9,0.05,10.0,0.01,20.0,,,,,,,,,,,
114, εις αλεξανδρε ουδις τω,0.7391357541671505,103.4,10.0,200.0,1000.0,0.3,0.01,5.0,0.001,100.0,,,,,,,,,,,
115, ετων αλεξανδρε ουδις μηνι,0.6695262700949737,54.53333333333333,15.0,50.0,1000.0,0.3,0.01,1.0,0.01,50.0,,,,,,,,,,,
116, ουδις αλεξανδρε ουδις ουδις,0.7954539103261147,101.0,10.0,250.0,500.0,0.3,0.01,1.0,0.1,100.0,,,,,,,,,,,
117, ετους αλεξανδρε ουδις ου,0.8135569782494277,51.53333333333333,15.0,250.0,250.0,0.1,0.01,10.0,0.1,50.0,,,,,,,,,,,
118, και αλεξανδρε ουδις των,0.8527210483112895,24.84,25.0,250.0,250.0,0.1,0.1,5.0,0.001,20.0,,,,,,,,,,,
